Component,Type,Version in Repo,OpenStack Software Version,Latest Upstream Version,OpenStack Release Name,Compatibility,Recommended Upstream,Source Path,Notes,Comments,OpenStack Version (Numeric)
jinja2,python-package,3.1.5,Unknown,3.1.6,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
jmespath,python-package,1.0.1,Unknown,1.0.1,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
jsonschema,python-package,4.23.0,Unknown,4.25.1,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
MarkupSafe,python-package,2.1.3,Unknown,3.0.3,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
netaddr,python-package,0.9.0,Unknown,1.3.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
pbr,python-package,5.11.1,Unknown,7.0.3,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
kubernetes,python-package,24.2.0,Unknown,34.1.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
openstacksdk,python-package,1.0.0,Unknown,4.8.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
python-openstackclient,python-package,7.4.0,Unknown,8.2.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
dictdiffer,python-package,0.9.0,Unknown,0.9.0,Unknown,Unknown,Unknown,requirements.txt,,,Unknown
ansible-compat,python-package,4.1.11,Unknown,25.12.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
ansible-lint,python-package,24.2.0,Unknown,25.12.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
attrs,python-package,23.2.0,Unknown,25.4.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
black,python-package,24.3.0,Unknown,25.11.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
bracex,python-package,2.4,Unknown,2.6,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
click,python-package,8.1.7,Unknown,8.3.1,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
filelock,python-package,3.13.1,Unknown,3.20.0,Unknown,Unknown,Unknown,dev-requirements.txt,,,Unknown
