Component,Type,Version in Repo,Latest Upstream Version,Source Path,Notes,OpenStack Software Version,OpenStack Version (Numeric),OpenStack Release Name,Compatibility,Recommended Upstream
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
ceph.rook.io,operator-crd,v1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1,Unknown,Unknown,Unknown,Unknown,Unknown
objectbucket.io,operator-crd,v1alpha1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1alpha1,Unknown,Unknown,Unknown,Unknown,Unknown
objectbucket.io,operator-crd,v1alpha1,N/A,base-kustomize/rook-operator/base/crds.yaml,CRD version: v1alpha1,Unknown,Unknown,Unknown,Unknown,Unknown
ansible,python-package,"9.0,<10.0",13.0.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
ansible-core,python-package,2.17.0,2.20.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
cryptography,python-package,43.0.1,46.0.3,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
jinja2,python-package,3.1.5,3.1.6,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
jmespath,python-package,1.0.1,1.0.1,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
jsonschema,python-package,4.23.0,4.25.1,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
MarkupSafe,python-package,2.1.3,3.0.3,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
netaddr,python-package,0.9.0,1.3.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
pbr,python-package,5.11.1,7.0.3,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
kubernetes,python-package,24.2.0,34.1.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
openstacksdk,python-package,1.0.0,4.8.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
python-openstackclient,python-package,7.4.0,8.2.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
dictdiffer,python-package,0.9.0,0.9.0,requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
ansible-compat,python-package,4.1.11,25.11.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
ansible-lint,python-package,24.2.0,25.11.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
attrs,python-package,23.2.0,25.4.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
black,python-package,24.3.0,25.11.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
bracex,python-package,2.4,2.6,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
click,python-package,8.1.7,8.3.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
filelock,python-package,3.13.1,3.20.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
jsonschema,python-package,4.21.1,4.25.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
jsonschema-specifications,python-package,2023.12.1,2025.9.1,dev-requirements.txt,,antelope v1,2023.1,Antelope,❌ Mismatch,dalmatian v2.208
markdown-it-py,python-package,3.0.0,4.0.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
mdurl,python-package,0.1.2,0.1.2,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
mypy-extensions,python-package,1.0.0,1.1.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
pathspec,python-package,0.12.1,0.12.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
platformdirs,python-package,4.2.0,4.5.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
pygments,python-package,2.17.2,2.19.2,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
referencing,python-package,0.33.0,0.37.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
reno,python-package,4.0.0,4.1.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
rich,python-package,13.7.0,14.2.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
rpds-py,python-package,0.17.1,0.29.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
subprocess-tee,python-package,0.4.1,0.4.2,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
tomli,python-package,2.0.1,2.3.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
typing-extensions,python-package,4.9.0,4.15.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
wcmatch,python-package,8.5,10.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
yamllint,python-package,1.35.1,1.37.1,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
pre_commit,python-package,4.1.0,4.5.0,dev-requirements.txt,,Unknown,Unknown,Unknown,Unknown,Unknown
octavia_preconf.amphora_image_version,ansible-role-var,focal,N/A,ansible/roles/octavia_preconf/defaults/main.yml,Ansible role variable,Unknown,Unknown,Unknown,Unknown,Unknown
actions/checkout,github-action,v3,N/A,.github/workflows/genestack-intel.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
actions/setup-python,github-action,v4,N/A,.github/workflows/genestack-intel.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
python-version,ci-cd-tool,3.x,N/A,.github/workflows/genestack-intel.yml,CI/CD tool version,Unknown,Unknown,Unknown,Unknown,Unknown
actions/checkout,github-action,v3,N/A,.github/workflows/genestack-intel-suite.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
actions/setup-python,github-action,v4,N/A,.github/workflows/genestack-intel-suite.yml,GitHub Action,Unknown,Unknown,Unknown,Unknown,Unknown
python-version,ci-cd-tool,3.x,N/A,.github/workflows/genestack-intel-suite.yml,CI/CD tool version,Unknown,Unknown,Unknown,Unknown,Unknown
mariadb,generic-image,11.4.3,N/A (requires registry access),base-kustomize/mariadb-cluster/base/mariadb-replication.yaml,Image: docker-registry1.mariadb.com/library/mariadb,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,master,N/A (requires registry access),base-kustomize/rook-operator/base/operator.yaml,Image: rook/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
type,generic-image, string,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: type,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
description,generic-image, Image,N/A (requires registry access),base-kustomize/rook-operator/base/crds.yaml,Image: description,Unknown,Unknown,Unknown,Unknown,Unknown
mariadb,generic-image,11.4.3,N/A (requires registry access),base-kustomize/grafana/base/grafana-database.yaml,Image: docker-registry1.mariadb.com/library/mariadb,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault-k8s""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault-csi-provider""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
repository,generic-image," ""hashicorp/vault""",N/A (requires registry access),base-kustomize/vault/base/values.yaml,Image: repository,Unknown,Unknown,Unknown,Unknown,Unknown
kubernetes-entrypoint,generic-image,"latest""",N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/kubernetes-entrypoint",Unknown,Unknown,Unknown,Unknown,Unknown
k8s,generic-image,1.26.11,N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,Image: alpine/k8s,Unknown,Unknown,Unknown,Unknown,Unknown
ovs,generic-image,"v3.5.1-latest""",N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,"Image: ""ghcr.io/rackerlabs/genestack-images/ovs",Unknown,Unknown,Unknown,Unknown,Unknown
k8s,generic-image,1.26.11,N/A (requires registry access),base-kustomize/ovn/base/ovn-setup.yaml,Image: alpine/k8s,Unknown,Unknown,Unknown,Unknown,Unknown
kube-ovn,generic-image,v1.13.13,N/A (requires registry access),base-kustomize/ovn-backup/base/ovn-backup.yaml,Image: docker.io/kubeovn/kube-ovn,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,v18.2.1,N/A (requires registry access),base-kustomize/rook-cluster/base/toolbox.yaml,Image: quay.io/ceph/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
ceph,generic-image,v18.2.2,N/A (requires registry access),base-kustomize/rook-cluster/base/rook-cluster.yaml,Image: quay.io/ceph/ceph,Unknown,Unknown,Unknown,Unknown,Unknown
pullPolicy,generic-image, IfNotPresent,N/A (requires registry access),base-kustomize/vault-secrets-operator/base/values.yaml,Image: pullPolicy,Unknown,Unknown,Unknown,Unknown,Unknown
pullPolicy,generic-image, IfNotPresent,N/A (requires registry access),base-kustomize/vault-secrets-operator/base/values.yaml,Image: pullPolicy,Unknown,Unknown,Unknown,Unknown,Unknown
etcd-backup,generic-image,v0.0.5,N/A (requires registry access),base-kustomize/backups/base/etcd/etcd-backup.yaml,Image: csengteam/etcd-backup,Unknown,Unknown,Unknown,Unknown,Unknown
etcd-backup,generic-image,v0.0.5,N/A (requires registry access),base-kustomize/backups/base/etcd/etcd-backup.yaml,Image: csengteam/etcd-backup,Unknown,Unknown,Unknown,Unknown,Unknown
